Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	66/512	4.420484982044869E-55	2.0507031693977243E-52	0	0	12.890625	1613.3381691817196	RB1;GSK3B;SPI1;KDM1A;THRA;SUV39H1;IKZF1;BRCA1;AHR;DNMT3L;KAT5;TRIM28;SUMO1;SIN3A;MYB;MEN1;DAXX;SMARCC2;EED;SIRT1;RUNX2;DDIT3;RARA;PPARG;PPARA;TP53;PPARD;HDAC4;HDAC5;HDAC2;NOTCH1;HDAC3;CTBP1;HDAC1;NR1I2;RELA;FOXO1;NKX2-1;E2F1;ZBTB7A;MTA3;SMAD2;TFAP2A;SMARCE1;JUN;XRCC6;SMAD4;UBE2I;POU2F1;CBX5;XRCC5;VDR;NR1H2;ZBTB16;MBD2;HMGA1;SMARCA2;PML;SMARCA4;GATAD2A;BCL6;BCL3;SP3;CTNNB1;RCOR1;EZH2
chromatin remodeling (GO:0006338)	36/116	2.402279535363693E-44	1.0215693724134105E-41	0	0	31.03448275862069	3117.020462030584	RB1;HDAC4;HDAC5;SMARCD1;SMARCD2;HDAC2;SMARCB1;SMARCD3;HDAC1;CHD4;HMGB1;RBBP4;RUVBL2;MYC;RUVBL1;MYB;MTA2;BPTF;SMARCE1;MBD3;DAXX;SMARCC1;PBRM1;SMARCC2;ACTL6A;MBD2;SMARCA5;SMARCA1;ARID1A;SMARCA2;ESR1;ARID1B;GATAD2B;SMARCA4;KAT2B;KAT2A
transcription from RNA polymerase II promoter (GO:0006366)	55/485	2.2009472923227806E-42	8.639564640556269E-40	0	0	11.34020618556701	1087.7490170691403	CDKN1A;SPI1;THRB;THRA;AHR;NR3C1;ETS1;TRIM28;HNF4A;GTF2I;PBRM1;TBP;PARP1;ARNT;RUNX2;HCFC1;KAT2B;KAT2A;NCOR1;DDIT3;RARA;PPARG;PGR;PPARA;PPARD;CEBPB;NOTCH1;KMT2A;CEBPD;EPAS1;SRF;NR1I2;HIF1A;GATA1;NR2C1;RELA;RXRA;PPARGC1A;RXRG;CREBBP;POU2F1;VDR;NR1H2;NR1H4;NFATC2;NR1H3;NFATC1;NR0B2;ESR1;NFKB1;NR4A1;KLF5;SP1;TAF6;NFE2L2
regulation of gene expression (GO:0010468)	65/1037	1.8665666941142501E-34	6.803635600046441E-32	0	0	6.26808100289296	486.8029418232799	RB1;ATF2;GSK3B;CHD7;ASH2L;BRCA1;AHR;HMGB1;CHD3;NR3C1;ETS1;SOX2;YY1;MYC;MYB;DNMT3B;EP300;NCOA2;DAXX;H2AFY;NCOA3;SIRT1;HIC1;HCFC1;DDIT3;MYOD1;PGR;TP53;HDAC4;HDAC5;DNMT1;CEBPB;NOTCH1;HDAC1;FOXK2;HIF1A;RELA;HIST1H3A;MTA1;TDG;NKX2-1;E2F1;MAPK1;PPARGC1A;BPTF;SUZ12;TFAP2A;SMARCE1;CREBBP;SMAD3;BCL11B;VDR;HMGA1;NFATC2;NR0B2;SMARCA2;ESR1;NFKB1;PML;SP1;CARM1;SP3;TP73;EZH2;NFE2L2
DNA-templated transcription, initiation (GO:0006352)	32/186	1.9780941870621076E-30	6.72947642438529E-28	0	0	17.20430107526882	1176.6953796203518	CDKN1A;NOTCH1;THRB;THRA;NR1I2;NR3C1;NR2C1;RXRA;TRIM28;HNF4A;PPARGC1A;RXRG;GTF2I;CREBBP;TBP;VDR;NCOA6;NR1H2;SMARCA5;NR1H4;NR1H3;NR0B2;ESR1;RUNX2;NR4A1;KAT2B;RARA;PGR;PPARG;TAF6;PPARA;PPARD
regulation of gene expression, epigenetic (GO:0040029)	24/74	2.75369814346214E-30	8.782576016304562E-28	0	0	32.432432432432435	2207.500800068373	HDAC4;SUZ12;HDAC5;DNMT1;SPI1;TBP;H2AFY;EED;PHF1;DNMT3A;H3F3A;SMARCA5;KAT2B;DNMT3L;KAT2A;HIST1H4A;MTA1;HIST1H3A;RBBP4;TDG;DNMT3B;EP300;RBBP7;EZH2
transcription initiation from RNA polymerase II promoter (GO:0006367)	30/160	9.651389680841428E-30	2.8971200906666944E-27	0	0	18.75	1252.69595393365	CDKN1A;NOTCH1;THRB;THRA;NR1I2;NR3C1;NR2C1;RXRA;TRIM28;HNF4A;PPARGC1A;RXRG;GTF2I;CREBBP;TBP;VDR;NR1H2;NR1H4;NR1H3;NR0B2;ESR1;RUNX2;NR4A1;KAT2B;RARA;PGR;PPARG;TAF6;PPARA;PPARD
ATP-dependent chromatin remodeling (GO:0043044)	18/30	3.563467956025992E-29	1.0102431655333687E-26	0	0	60.0	3930.254008871013	MBD3;SMARCE1;SMARCD2;HDAC2;SMARCC1;PBRM1;SMARCB1;SMARCC2;HDAC1;ACTL6A;MBD2;SMARCA5;CHD4;SMARCA1;GATAD2B;SMARCA4;RBBP4;MTA2
transcription, DNA-templated (GO:0006351)	35/356	1.1027818920567338E-24	2.9618399974555327E-22	0	0	9.831460674157304	542.3447243856223	CEBPB;THRB;SMARCD3;KMT2A;THRA;CEBPD;EPAS1;SRF;ASH2L;AHR;NR3C1;HIF1A;GATA1;E2F1;GTF2I;BPTF;NCOA1;TBP;PARP1;NCOA6;SMARCA5;NFATC2;ARNT;NFATC1;SMARCA1;ESR1;NFKB1;HCFC1;KAT2A;NCOR1;KLF5;BCL3;TAF6;TP53;NFE2L2
nucleosome organization (GO:0034728)	20/79	6.017457929481963E-23	1.535354390707323E-20	0	0	25.31645569620253	1295.3111959385806	SMARCE1;SMARCD1;SMARCC1;DAXX;PBRM1;SMARCD2;SMARCB1;SMARCC2;SMARCD3;H2AFY;H2AFX;H3F3A;HMGA1;SMARCA5;ARID1A;SMARCA4;HIST1H4A;HIST1H3A;HIST3H3;HIST1H2BB
negative regulation of gene expression, epigenetic (GO:0045814)	14/25	2.550707416691095E-22	6.19821902255936E-20	0	0	56.00000000000001	2784.34807318426	SUZ12;DNMT1;SPI1;H2AFY;EED;PHF1;H3F3A;DNMT3A;HIST1H4A;HIST1H3A;RBBP4;DNMT3B;RBBP7;EZH2
regulation of cellular macromolecule biosynthetic process (GO:2000112)	40/631	4.9900861979856376E-21	1.1574731758327594E-18	0	0	6.3391442155309035	296.33492088187205	RB1;ATF2;CEBPB;NOTCH1;EHMT2;CHD7;FOXK2;ASH2L;AHR;HMGB1;CHD3;NR3C1;HIF1A;GATA1;RELA;SOX2;MYB;E2F1;EP300;PPARGC1A;BPTF;SUZ12;SMARCE1;NCOA2;DAXX;CREBBP;BCL11B;HMGA1;NFATC2;SMARCA2;ESR1;HIC1;PML;HCFC1;SP1;DDIT3;CARM1;SP3;TP53;EZH2
cellular response to DNA damage stimulus (GO:0006974)	30/329	2.71454254458828E-20	6.022743741319127E-18	0	0	9.11854103343465	410.81834418743813	ATF2;CDKN1A;SMARCB1;PRKDC;SUV39H1;PHF1;SETD7;ASH2L;BRCA1;FOXO1;YY1;TRIM28;SUMO1;RBBP5;MYC;E2F1;TP53BP1;MEN1;PARP1;NCOA6;H2AFX;NFATC2;SIRT1;HIC1;DDB1;BCL6;DDIT3;BCL3;TP53;TP73
regulation of nucleic acid-templated transcription (GO:1903506)	38/607	8.424340951289935E-20	1.7912254947680226E-17	0	0	6.260296540362438	274.9558338152554	RB1;ATF2;CEBPB;NOTCH1;CHD7;FOXK2;ASH2L;AHR;HMGB1;CHD3;NR3C1;HIF1A;RELA;SOX2;MYB;E2F1;EP300;PPARGC1A;BPTF;SUZ12;SMARCE1;NCOA2;DAXX;CREBBP;BCL11B;HMGA1;NFATC2;SMARCA2;ESR1;HIC1;PML;HCFC1;SP1;DDIT3;CARM1;SP3;TP53;EZH2
protein-DNA complex disassembly (GO:0032986)	12/21	1.9456454349441224E-19	3.971451461807943E-17	0	0	57.14285714285714	2461.915600097445	SMARCE1;SMARCD1;SMARCC1;SMARCD2;PBRM1;SMARCD3;SMARCC2;SMARCB1;MYC;HMGA1;ARID1A;SMARCA4
regulation of lipid metabolic process (GO:0019216)	19/100	2.737463776345568E-19	5.372799096419782E-17	0	0	19.0	812.0996131801227	RB1;NCOA1;NCOA2;CREBBP;SMARCD3;HDAC3;H2AFY;NCOA6;FHL2;NCOR2;NCOR1;RXRA;TBL1XR1;SIN3A;HNF4A;CARM1;PPARG;PPARA;PPARD
regulation of myeloid cell differentiation (GO:0045637)	16/65	2.296142734616915E-18	4.3397097684259695E-16	0	0	24.615384615384617	999.7612561408682	HSPA9;CREBBP;SPI1;KMT2A;HDAC1;ZBTB16;H3F3A;ASH2L;GATA1;RUNX1;KAT2B;HIST1H4A;HIST1H3A;SIN3A;RBBP5;EP300
intracellular steroid hormone receptor signaling pathway (GO:0030518)	16/66	3.0046535573411805E-18	5.475981108254301E-16	0	0	24.242424242424242	978.0938036676432	RB1;NCOA1;DAXX;NCOA6;SRC;NCOA3;FHL2;BRCA1;ARID1A;ESR1;PIAS2;PIAS1;KAT5;NRIP1;CTNNB1;PPARGC1A
nucleosome disassembly (GO:0006337)	11/19	5.33905388059307E-18	9.394893776781531E-16	0	0	57.89473684210527	2302.5595544100443	SMARCE1;SMARCD1;SMARCC1;SMARCD2;PBRM1;SMARCD3;SMARCC2;SMARCB1;HMGA1;ARID1A;SMARCA4
chromatin disassembly (GO:0031498)	11/19	5.33905388059307E-18	9.081730650888813E-16	0	0	57.89473684210527	2302.5595544100443	SMARCE1;SMARCD1;SMARCC1;SMARCD2;PBRM1;SMARCD3;SMARCC2;SMARCB1;HMGA1;ARID1A;SMARCA4
beta-catenin-TCF complex assembly (GO:1904837)	12/30	5.2943679919972576E-17	8.715212859084519E-15	0	0	40.0	1499.0921187346191	CREBBP;HIST1H4A;KAT5;HDAC1;RBBP5;MYC;RUVBL1;EP300;CTNNB1;ASH2L;MEN1;SMARCA4
androgen receptor signaling pathway (GO:0030521)	13/40	6.403971038622221E-17	1.0212332565652873E-14	0	0	32.5	1211.828420015308	RB1;NCOA1;DAXX;NCOA3;FHL2;BRCA1;ARID1A;PIAS2;PIAS1;KAT5;NRIP1;CTNNB1;PPARGC1A
histone modification (GO:0016570)	17/98	1.1301765759436415E-16	1.747663959709213E-14	0	0	17.346938775510203	636.9620298911716	HDAC4;HDAC5;CREBBP;HDAC2;HDAC1;UHRF1;EHMT2;SIRT1;KAT2A;KAT5;TBL1XR1;SIN3A;RUVBL2;CARM1;RUVBL1;EP300;EZH2
regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893)	11/26	5.135950424788848E-16	7.708457358146322E-14	0	0	42.30769230769231	1489.44639351784	JUN;SPI1;SMAD3;SRF;FOS;PPARA;HIF1A;TP53;RELA;SMARCA4;PPARD
positive regulation of gene expression, epigenetic (GO:0045815)	13/47	7.043655554443437E-16	1.0269649798378532E-13	0	0	27.659574468085108	965.0213714232116	SMARCD1;TBP;H2AFY;H3F3A;HMGA1;SMARCA5;ARID1A;ARID1B;KAT2B;HIST1H4A;KAT2A;HIST1H3A;EP300
regulation of cell proliferation (GO:0042127)	36/740	2.5805895900153832E-15	3.6579857438468057E-13	0	0	4.864864864864865	163.41450080508412	HDAC4;CDKN1A;HDAC2;SMARCB1;NOTCH1;PRKDC;CTBP1;HDAC1;SRC;ASH2L;BRCA1;ETS1;RELA;RBBP4;MYC;HNF4A;JUNB;MEN1;TFAP2A;JUN;XRCC6;PBRM1;JUND;CSNK2A1;XRCC5;VDR;HMGA1;SMARCA2;SIRT1;PML;PIAS1;KAT2B;BCL6;RARA;CTNNB1;TP53
regulation of signal transduction by p53 class mediator (GO:1901796)	18/138	2.6103219118582335E-15	3.6001277611385315E-13	0	0	13.043478260869565	437.9909066518025	MBD3;HDAC2;TBP;CSNK2A1;HDAC1;EHMT2;CHD4;BRCA1;CHD3;PML;KAT5;RBBP4;EP300;TAF6;RBBP7;MTA2;TP53;TP73
regulation of primary metabolic process (GO:0080090)	18/139	2.9727035079213962E-15	3.9920278949797066E-13	0	0	12.949640287769784	433.15646224033827	NCOA1;NCOA2;CREBBP;SMARCD3;HDAC3;H2AFY;NCOA6;FHL2;NCOR2;NCOR1;RXRA;TBL1XR1;SIN3A;HNF4A;CARM1;PPARG;PPARA;PPARD
regulation of megakaryocyte differentiation (GO:0045652)	12/49	4.786490596162532E-14	6.262938849286513E-12	0	0	24.489795918367346	751.1116851715764	KAT2B;HIST1H4A;HIST1H3A;KMT2A;SIN3A;HDAC1;RBBP5;H3F3A;EP300;ASH2L;GATA1;RUNX1
positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895)	9/19	7.068977043803051E-14	9.018247463631742E-12	0	0	47.368421052631575	1434.3383142084913	JUN;SMAD3;SPI1;SRF;FOS;HIF1A;TP53;RELA;SMARCA4
positive regulation of cell differentiation (GO:0045597)	19/194	8.901074873104493E-14	1.107858172620786E-11	0	0	9.79381443298969	294.3043123422824	SMAD2;JUN;SMAD4;CEBPB;JUND;NOTCH1;SMAD3;ZBTB16;SRF;RUNX2;NFKB1;CREB1;MYOD1;CARM1;CTNNB1;PPARG;JUNB;EZH2;PPARD
DNA metabolic process (GO:0006259)	23/314	1.0224574723904734E-13	1.2422858289544253E-11	0	0	7.32484076433121	219.0962214748021	MBD3;TOP2B;XRCC6;DNMT1;SMARCB1;PARP1;UHRF2;PRKDC;XRCC5;NCOA6;HDAC1;UHRF1;MBD2;BRCA1;HMGB1;SIRT1;DDB1;KAT5;TRIM28;SUMO1;TDG;TP53;MEN1
negative regulation of cellular process (GO:0048523)	28/534	7.387928881906041E-13	8.7675816475271E-11	0	0	5.2434456928838955	146.46914712327055	CDKN1A;SMARCB1;NOTCH1;CTBP1;ING1;ETS1;RBBP4;MYC;HNF4A;RBBP7;MEN1;SUZ12;TFAP2A;PBRM1;SMAD4;SMAD3;VDR;HMGA1;SMARCA2;SIRT1;PML;SMARCA4;KAT2B;NR4A1;BCL6;CTNNB1;TAF6;TP53
positive regulation of histone methylation (GO:0031062)	9/24	9.583383617662833E-13	1.1114546954757599E-10	0	0	37.5	1037.759080623774	SMAD4;DNMT1;KMT2A;PHF1;MYB;DNMT3B;CTNNB1;BRCA1;SIRT1
regulation of histone H3-K4 methylation (GO:0051569)	8/16	1.0439320419810978E-12	1.183818935606565E-10	0	0	50.0	1379.4013361237319	SMAD4;DNMT1;KMT2A;H2AFY;MYB;DNMT3B;CTNNB1;BRCA1
cellular response to UV (GO:0034644)	12/67	2.6596232983116923E-12	2.950447324192297E-10	0	0	17.91044776119403	477.3642379762326	YY1;DDB1;CDKN1A;CREBBP;KDM1A;PARP1;RUVBL2;MYC;EP300;SIRT1;TP53;TP73
cellular response to lipid (GO:0071396)	17/178	2.84575704486618E-12	3.089765574457897E-10	0	0	9.550561797752808	253.90351897824516	VDR;H2AFZ;NCOA3;NR1H2;NR1I2;NR1H4;NR1H3;AHR;NR3C1;ESR1;NFKB1;KAT5;RUVBL2;MYOD1;NRIP1;RARA;PPARA
